midill,sott_ur,sida,id,slug,deild,deild_slug,flokkur,flokkur_slug,fyrirsogn,lysing,tegund,i_beinni,hofundar,merki,dagsetning,sidast_birt,slod,mynd,mynd_alt
RUV,Allar frettir,1,474485,2026-05-07-ekki-tilefni-til-ad-endurskoda-atkvaedagreidslu-utan-kjorfundar-474485,Innlendar fréttir,innlent,Sveitarstjórnarkosningar 2026,sveitarstjornarkosningar-2026,Ekki tilefni til að endurskoða atkvæðagreiðslu utan kjörfundar,Um 4300 atkvæði hafa verið greidd utan kjörfundar á höfuðborgarsvæðinu í aðdraganda sveitarstjórnarkosninganna. Sýslumaður segir það ekki hafa áhrif á kjörsókn að einungis sé hægt að greiða atkvæði á einum stað.,Færsla,False,,,2026-05-07T12:02:15.505356Z,2026-05-07T12:02:15.505356Z,https://www.ruv.is/frettir/innlent/2026-05-07-ekki-tilefni-til-ad-endurskoda-atkvaedagreidslu-utan-kjorfundar-474485/,https://myndir.ruv.is/eyJidWNrZXQiOiAicnV2LXByb2QtcnV2aXMtcHVibGljIiwgImtleSI6ICJtZWRpYS9wdWJsaWMvb3JpZ2luYWxfaW1hZ2VzL0lNR18zNzE0LmpwZyIsICJlZGl0cyI6IHsidG9Gb3JtYXQiOiAid2VicCIsICJ3ZWJwIjogeyJxdWFsaXR5IjogNjB9LCAicmVzaXplIjogeyJ3aWR0aCI6ICIxNjAwIiwgImZpdCI6ICJjb3ZlciIsICJoZWlnaHQiOiAiOTAwIn19fQ==,Sýslumaðurinn Hlíðarsmára 1
RUV,Allar frettir,1,474484,2026-05-07-laxaseidi-sluppu-ur-eldiskeri-474484,Innlendar fréttir,innlent,Matvælastofnun,matvaelastofnun,Laxaseiði sluppu úr eldiskeri,,Fréttamoli,False,Brynjólfur Þór Guðmundsson,,2026-05-07T11:41:50.856947Z,2026-05-07T11:41:50.856947Z,https://www.ruv.is/frettir/innlent/2026-05-07-laxaseidi-sluppu-ur-eldiskeri-474484/,https://myndir.ruv.is/eyJidWNrZXQiOiAicnV2LXByb2QtcnV2aXMtcHVibGljIiwgImtleSI6ICJtZWRpYS9wdWJsaWMvb3JpZ2luYWxfaW1hZ2VzL2ZyXzIwMjAxMDEwXzE0NjcwOS5qcGciLCAiZWRpdHMiOiB7InRvRm9ybWF0IjogIndlYnAiLCAid2VicCI6IHsicXVhbGl0eSI6IDYwfSwgInJlc2l6ZSI6IHsid2lkdGgiOiAiMTYwMCIsICJmaXQiOiAiY292ZXIiLCAiaGVpZ2h0IjogIjkwMCJ9fX0=,
RUV,Allar frettir,1,474483,2026-05-07-fyrrum-thungamidju-nordlensks-idnadar-breytt-i-sudupunkt-nedanjardarsenunnar-474483,Menning og dægurmál,menning-og-daegurmal,Menning,menningarefni,Fyrrum þungamiðju norðlensks iðnaðar breytt í suðupunkt neðanjarðarsenunnar,Forsvarsmenn menningarhátíðarinnar Mannfólkið breytist í slím hefur opinberað dagskrá hátíðarinnar í ár. Fyrrum þungamiðju norðlensks iðnaðar verður þá breytt í suðupunkt neðanjarðarsenunnar eina helgi í júlí.,Færsla,False,,,2026-05-07T11:38:22.366956Z,2026-05-07T11:38:22.366956Z,https://www.ruv.is/frettir/menning-og-daegurmal/2026-05-07-fyrrum-thungamidju-nordlensks-idnadar-breytt-i-sudupunkt-nedanjardarsenunnar-474483/,https://myndir.ruv.is/eyJidWNrZXQiOiAicnV2LXByb2QtcnV2aXMtcHVibGljIiwgImtleSI6ICJtZWRpYS9wdWJsaWMvb3JpZ2luYWxfaW1hZ2VzL0d1YmJhX2hvcmlfU1NPMzE3OC5qcGciLCAiZWRpdHMiOiB7InRvRm9ybWF0IjogIndlYnAiLCAid2VicCI6IHsicXVhbGl0eSI6IDYwfSwgInJlc2l6ZSI6IHsid2lkdGgiOiAiMTYwMCIsICJmaXQiOiAiY292ZXIiLCAiaGVpZ2h0IjogIjkwMCJ9fX0=,Hljómsveitin gubba hori á tónleikahátíðinni Mannfólkið breytist í slím 2025 á Akureyri.
RUV,Allar frettir,1,474482,2026-05-07-hlutabrefaverd-i-alvotech-fell-eftir-uppgjor-474482,Innlendar fréttir,innlent,Viðskipti,vidskipti,Hlutabréfaverð í Alvotech féll eftir uppgjör,,Fréttamoli,False,Brynjólfur Þór Guðmundsson,Alvotech,2026-05-07T11:13:55.038693Z,2026-05-07T11:13:55.038693Z,https://www.ruv.is/frettir/innlent/2026-05-07-hlutabrefaverd-i-alvotech-fell-eftir-uppgjor-474482/,https://myndir.ruv.is/eyJidWNrZXQiOiAicnV2LXByb2QtcnV2aXMtcHVibGljIiwgImtleSI6ICJtZWRpYS9wdWJsaWMvb3JpZ2luYWxfaW1hZ2VzL0RKSV8yMDI1MDgyNTEzMTgyOF8wMDA4X0QuanBnIiwgImVkaXRzIjogeyJ0b0Zvcm1hdCI6ICJ3ZWJwIiwgIndlYnAiOiB7InF1YWxpdHkiOiA2MH0sICJyZXNpemUiOiB7IndpZHRoIjogIjE2MDAiLCAiZml0IjogImNvdmVyIiwgImhlaWdodCI6ICI5MDAifX19,Loftmynd af Alvotech við Sæmundargötu í Vatnsmýrinni að sumri til
RUV,Allar frettir,1,474474,2026-05-07-stefnir-i-afhrod-gomlu-flokkanna-a-englandi-474474,Erlendar fréttir,erlent,Bretland,bretland,Stefnir í afhroð gömlu flokkanna á Englandi,"Kosið er í Bretlandi í dag, þingkosningar í Skotlandi og Wales og sveitarstjórnarkosningar víða um England. Fjallað var um kosningarnar í Heimsglugganum á Rás 1. Bogi Ágústsson ræddi við Sólveigu Jónsdóttur, blaðamann og rithöfund.",Færsla,False,,,2026-05-07T11:09:24.070098Z,2026-05-07T11:46:42.800097Z,https://www.ruv.is/frettir/erlent/2026-05-07-stefnir-i-afhrod-gomlu-flokkanna-a-englandi-474474/,https://myndir.ruv.is/eyJidWNrZXQiOiAicnV2LXByb2QtcnV2aXMtcHVibGljIiwgImtleSI6ICJtZWRpYS9wdWJsaWMvb3JpZ2luYWxfaW1hZ2VzL0JyaXRhaW5fRWxlY3Rpb25zIiwgImVkaXRzIjogeyJ0b0Zvcm1hdCI6ICJ3ZWJwIiwgIndlYnAiOiB7InF1YWxpdHkiOiA2MH0sICJyZXNpemUiOiB7IndpZHRoIjogIjE2MDAiLCAiZml0IjogImNvdmVyIiwgImhlaWdodCI6ICI5MDAifX19,"Britain's Prime Minister Keir Starmer and wife Victoria leave a polling station in central London, Thursday, May 7, 2026 after casting their votes in the local elections.(AP Photo/Kirsty Wigglesworth)"
RUV,Allar frettir,1,474481,2026-05-07-arsaell-faer-ekki-ad-draga-radherra-og-adstodarmenn-fyrir-dom-474481,Innlendar fréttir,innlent,Menntamál,menntamal,Ársæll fær ekki að draga ráðherra og aðstoðarmenn fyrir dóm,Fyrrverandi skólameistari Borgarholtsskóla fær ekki að kveða ellefu einstaklinga fyrir dóm sem vitni vegna mögulegra málaferla hans gegn ríkinu.,Færsla,False,,,2026-05-07T10:54:31.653272Z,2026-05-07T11:48:36.820455Z,https://www.ruv.is/frettir/innlent/2026-05-07-arsaell-faer-ekki-ad-draga-radherra-og-adstodarmenn-fyrir-dom-474481/,https://myndir.ruv.is/eyJidWNrZXQiOiAicnV2LXByb2QtcnV2aXMtcHVibGljIiwgImtleSI6ICJtZWRpYS9wdWJsaWMvb3JpZ2luYWxfaW1hZ2VzLy1yc2FlbGwtMi5qcGciLCAiZWRpdHMiOiB7InRvRm9ybWF0IjogIndlYnAiLCAid2VicCI6IHsicXVhbGl0eSI6IDYwfSwgInJlc2l6ZSI6IHsid2lkdGgiOiAiMTYwMCIsICJmaXQiOiAiY292ZXIiLCAiaGVpZ2h0IjogIjkwMCJ9fX0=,"Ársæll Guðmundsson, skólameistari Borgarholtsskóla. (Mynd Kveikur/Freyr Arnarson)"
RUV,Allar frettir,1,474476,2026-05-07-malsokn-vegna-ologlegra-aettleidinga-474476,Erlendar fréttir,erlent,Danmörk,danmork,Málsókn vegna ólöglegra ættleiðinga,Átta manns sem voru ættleidd til Danmerkur frá Suður-Kóreu með ólögmætum hætti hafa höfðað mál gegn dönskum yfirvöldum. Þau telja mannréttindabrot hafa verið framið.,Klippufærsla,False,,,2026-05-07T09:58:33.004360Z,2026-05-07T09:58:33.004360Z,https://www.ruv.is/frettir/erlent/2026-05-07-malsokn-vegna-ologlegra-aettleidinga-474476/,https://myndir.ruv.is/eyJidWNrZXQiOiAicnV2LXByb2QtcnV2aXMtcHVibGljIiwgImtleSI6ICJtZWRpYS9wdWJsaWMvb3JpZ2luYWxfaW1hZ2VzL2Jhcm5fc3VkdXJrb3JlYS5qcGciLCAiZWRpdHMiOiB7InRvRm9ybWF0IjogIndlYnAiLCAid2VicCI6IHsicXVhbGl0eSI6IDYwfSwgInJlc2l6ZSI6IHsid2lkdGgiOiAiMTYwMCIsICJmaXQiOiAiY292ZXIiLCAiaGVpZ2h0IjogIjkwMCJ9fX0=,Barn ættleitt frá Suður-Kóreu til Danmerkur á sjöunda áratugnum.
RUV,Allar frettir,1,474475,2026-05-07-grunur-um-nytt-smit-tengt-hondius-474475,Erlendar fréttir,erlent,Heilbrigðismál,heilbrigdismal,Grunur um nýtt smit tengt Hondius,Grunur er um nýtt hantaveirusmit tengt skemmtiferðaskipinu Hondius. Flugfreyja sem var um borð í vél hollenska flugfélagsins KLM er með einkenni og verið er að rannsaka hvort hún sé smituð.,Færsla,False,,,2026-05-07T09:53:10.326061Z,2026-05-07T09:57:52.555087Z,https://www.ruv.is/frettir/erlent/2026-05-07-grunur-um-nytt-smit-tengt-hondius-474475/,https://myndir.ruv.is/eyJidWNrZXQiOiAicnV2LXByb2QtcnV2aXMtcHVibGljIiwgImtleSI6ICJtZWRpYS9wdWJsaWMvb3JpZ2luYWxfaW1hZ2VzL0ZpcnN0X0tMTV9BaXJidXNfQTMyMW5lb19hcnJpdmVzX2F0X1NjaGlwaG9sX0FpcnBvcnQiLCAiZWRpdHMiOiB7InRvRm9ybWF0IjogIndlYnAiLCAid2VicCI6IHsicXVhbGl0eSI6IDYwfSwgInJlc2l6ZSI6IHsid2lkdGgiOiAiMTYwMCIsICJmaXQiOiAiY292ZXIiLCAiaGVpZ2h0IjogIjkwMCJ9fX0=,"epa11567494 The first KLM Airbus A321neo, after landing from the Airbus factory in Hamburg, at Schiphol Airport, Netherlands, 27 August 2024. For KLM, the arrival of the A321neo marks a step in its fleet renewal toward cleaner, quieter and more fuel-efficient aircraft. EPA/RAMON VAN FLYMEN"
RUV,Allar frettir,1,474472,2026-05-07-selir-a-pollinum-474472,Innlendar fréttir,innlent,Akureyrarbær,akureyrarbaer,Selir á Pollinum,Nokkrir selir hafa gert sig heimakomna á Pollinum á Akureyri. Lögreglan varaði fólk við að fara of nálægt.,Færsla,False,,,2026-05-07T09:42:40.305967Z,2026-05-07T10:08:51.266998Z,https://www.ruv.is/frettir/innlent/2026-05-07-selir-a-pollinum-474472/,https://myndir.ruv.is/eyJidWNrZXQiOiAicnV2LXByb2QtcnV2aXMtcHVibGljIiwgImtleSI6ICJtZWRpYS9wdWJsaWMvb3JpZ2luYWxfaW1hZ2VzLzUyYzRlMjBiLWJkNDgtNDcwYS05ZDU1LTA5YzU4MzQ5NjNjNS5qcGciLCAiZWRpdHMiOiB7InRvRm9ybWF0IjogIndlYnAiLCAid2VicCI6IHsicXVhbGl0eSI6IDYwfSwgInJlc2l6ZSI6IHsid2lkdGgiOiAiMTYwMCIsICJmaXQiOiAiY292ZXIiLCAiaGVpZ2h0IjogIjkwMCJ9fX0=,Selirnir voru 8 á landi og þrír syndandi í kring þegar ljósmyndara bar að garði
RUV,Allar frettir,1,474473,2026-05-07-sigursaelustu-lid-landsins-utklja-titilinn-i-kvold-474473,Íþróttir,ithrottir,Handbolti,handbolti,Sigursælustu lið landsins útkljá titilinn í kvöld,Valur og FH mætast í kvöld í hreinum úrslitaleik um Íslandsmeistaratitil karla í handbolta. Einvígið hefur verið æsispennandi og síðasti leikur réðist á vítakasti eftir að tíminn var liðinn í annarri framlengingu.,Færsla,False,,,2026-05-07T09:06:08.942623Z,2026-05-07T09:10:56.014606Z,https://www.ruv.is/frettir/ithrottir/2026-05-07-sigursaelustu-lid-landsins-utklja-titilinn-i-kvold-474473/,https://myndir.ruv.is/eyJidWNrZXQiOiAicnV2LXByb2QtcnV2aXMtcHVibGljIiwgImtleSI6ICJtZWRpYS9wdWJsaWMvb3JpZ2luYWxfaW1hZ2VzL1Bob3RvXzQuNS4yMDI2XzE5XzQyXzI5LmpwZyIsICJlZGl0cyI6IHsidG9Gb3JtYXQiOiAid2VicCIsICJ3ZWJwIjogeyJxdWFsaXR5IjogNjB9LCAicmVzaXplIjogeyJ3aWR0aCI6ICIxNjAwIiwgImZpdCI6ICJjb3ZlciIsICJoZWlnaHQiOiAiOTAwIn19fQ==,"Úr leik FH og Vals í Kaplakrika í kvöld, 4. maí 2026."
